user_id,date,day_total,running_total
2,2015-03-13,67,67
3,2015-03-31,26,26
4,2015-03-28,63,63
4,2015-04-20,93,156
5,2015-03-01,45,45
6,2015-03-15,32,32
8,2015-03-06,66,66
8,2015-03-14,73,139
8,2015-04-07,96,235
9,2015-04-17,89,89
9,2015-04-18,70,159
10,2015-04-07,15,15
11,2015-03-06,91,91
11,2015-04-03,71,162
12,2015-03-24,36,36
12,2015-03-25,14,50
12,2015-04-14,79,129
13,2015-03-24,22,22
15,2015-03-05,113,113
16,2015-04-14,60,60
17,2015-04-08,92,92
18,2015-04-03,54,54
18,2015-04-08,23,77
19,2015-04-10,22,22
23,2015-03-01,19,19
23,2015-04-07,33,52
24,2015-03-06,34,34
26,2015-03-17,53,53
28,2015-03-03,33,33
28,2015-03-17,77,110
29,2015-03-09,37,37
30,2015-04-06,50,50
32,2015-04-22,43,43
33,2015-04-21,45,45
34,2015-03-20,73,73
38,2015-04-03,142,142
41,2015-04-13,70,70
41,2015-04-24,34,104
42,2015-03-17,88,88
42,2015-04-09,110,198
42,2015-04-19,94,292
43,2015-04-25,60,60
45,2015-03-26,112,112
45,2015-04-19,61,173
46,2015-03-20,36,36
49,2015-04-28,60,60
50,2015-03-07,73,73
50,2015-03-13,41,114
50,2015-04-09,77,191
52,2015-04-20,42,42
55,2015-03-03,62,62
55,2015-04-01,103,165
55,2015-04-11,125,290
57,2015-03-01,51,51
59,2015-03-09,59,59
60,2015-03-13,26,26
60,2015-03-18,15,41
60,2015-04-16,84,125
63,2015-04-06,67,67
64,2015-03-30,20,20
66,2015-03-09,26,26
66,2015-04-27,68,94
70,2015-03-14,81,81
70,2015-04-05,28,109
71,2015-03-11,10,10
71,2015-04-02,65,75
72,2015-03-30,45,45
72,2015-04-03,49,94
75,2015-03-26,77,77
75,2015-03-30,71,148
77,2015-03-07,63,63
77,2015-04-07,54,117
80,2015-03-26,63,63
81,2015-04-24,67,67
82,2015-03-27,77,77
82,2015-04-14,39,116
82,2015-04-23,46,162
83,2015-03-09,13,13
84,2015-04-15,92,92
85,2015-04-05,70,70
88,2015-03-17,64,64
89,2015-03-27,62,62
89,2015-04-10,18,80
90,2015-03-23,81,81
90,2015-04-12,92,173
92,2015-03-29,51,51
94,2015-04-08,58,58
95,2015-04-02,76,76
97,2015-04-29,53,53
99,2015-04-22,49,49
102,2015-03-21,65,65
102,2015-04-24,72,137
103,2015-03-31,39,39
103,2015-04-07,77,116
103,2015-04-16,121,237
105,2015-03-01,48,48
105,2015-04-08,57,105
108,2015-04-21,102,102
108,2015-04-26,38,140
110,2015-03-30,72,72
111,2015-04-13,70,70
112,2015-03-08,31,31
112,2015-04-10,67,98
112,2015-04-23,15,113
114,2015-04-14,68,68
115,2015-03-30,13,13
115,2015-04-27,62,75
118,2015-04-09,37,37
120,2015-03-05,29,29
122,2015-03-23,72,72
123,2015-04-24,79,79
124,2015-03-17,48,48
125,2015-04-21,68,68
125,2015-04-24,79,147
125,2015-04-27,55,202
127,2015-03-08,22,22
127,2015-03-25,59,81
129,2015-04-16,12,12
129,2015-04-23,39,51
130,2015-04-25,76,76
131,2015-04-14,23,23
132,2015-03-04,38,38
133,2015-03-26,69,69
134,2015-03-17,55,55
135,2015-04-15,120,120
136,2015-03-12,75,75
136,2015-04-05,83,158
137,2015-03-02,71,71
137,2015-04-02,69,140
137,2015-04-26,53,193
138,2015-03-12,83,83
139,2015-03-16,19,19
141,2015-04-02,116,116
142,2015-04-16,46,46
144,2015-04-13,98,98
145,2015-03-17,53,53
145,2015-04-10,77,130
147,2015-03-31,18,18
147,2015-04-09,73,91
148,2015-03-21,32,32
149,2015-03-15,52,52
150,2015-04-07,72,72
152,2015-03-29,130,130
153,2015-03-02,45,45
153,2015-03-05,93,138
154,2015-03-16,34,34
154,2015-03-18,36,70
154,2015-03-31,39,109
155,2015-03-10,106,106
157,2015-03-06,94,94
157,2015-03-16,60,154
159,2015-03-30,70,70
159,2015-04-12,131,201
160,2015-04-30,74,74
162,2015-03-25,90,90
163,2015-04-30,77,77
164,2015-04-16,43,43
166,2015-03-08,34,34
166,2015-03-16,11,45
167,2015-03-16,115,115
167,2015-04-03,56,171
167,2015-04-28,32,203
169,2015-03-20,58,58
169,2015-04-11,34,92
170,2015-04-07,119,119
170,2015-04-09,85,204
172,2015-04-13,57,57
173,2015-03-10,70,70
176,2015-04-15,52,52
176,2015-04-28,56,108
177,2015-03-05,37,37
177,2015-03-17,53,90
177,2015-03-27,50,140
178,2015-03-01,45,45
178,2015-04-03,14,59
178,2015-04-23,79,138
179,2015-04-15,82,82
180,2015-04-21,65,65
