user_id,country,created_at,created_asc,created_desc
155,Bangladesh,"2015-02-28 16:59:45",1,2198
999103,Bangladesh,"2015-09-29 13:32:07",2198,1
234,Brazil,"2015-02-28 17:39:27",1,2649
999671,Brazil,"2015-09-29 16:12:39",2649,1
2,China,"2015-02-28 16:00:40",1,18350
999806,China,"2015-09-29 16:34:59",18350,1
22,India,"2015-02-28 16:09:56",1,16564
999926,India,"2015-09-29 16:56:16",16564,1
680,Indonesia,"2015-02-28 19:57:19",1,3410
998606,Indonesia,"2015-09-29 11:05:05",3410,1
631,Japan,"2015-02-28 19:29:47",1,1729
999143,Japan,"2015-09-29 13:37:03",1729,1
1254,Mexico,"2015-02-28 21:57:55",1,1562
998131,Mexico,"2015-09-29 08:53:47",1562,1
106,Nigeria,"2015-02-28 16:41:42",1,1986
999897,Nigeria,"2015-09-29 16:48:33",1986,1
667,Pakistan,"2015-02-28 19:52:24",1,2590
999913,Pakistan,"2015-09-29 16:49:46",2590,1
404,Philippines,"2015-02-28 19:05:32",1,1402
998439,Philippines,"2015-09-29 10:06:14",1402,1
910,Russia,"2015-02-28 20:24:40",1,1898
999779,Russia,"2015-09-29 16:21:21",1898,1
266,"United States","2015-02-28 18:20:24",1,4388
999809,"United States","2015-09-29 16:39:36",4388,1
37,Vietnam,"2015-02-28 16:26:44",1,1
